variable,value_type,rank,value,count
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,12,70.0,2067
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,13,82.0,1967
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,14,69.0,1963
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,15,83.0,1926
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,16,84.0,1907
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,17,85.0,1831
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,18,68.0,1807
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,19,87.0,1748
arterial_blood_pressure_mean__mean__last_12h,rounded_2dp,20,86.0,1688
creatinine__last__last_12h,exact,1,61.880001068115234,1589
creatinine__last__last_12h,exact,2,70.72000122070312,1534
creatinine__last__last_12h,exact,3,53.04000473022461,1495
creatinine__last__last_12h,exact,4,79.55999755859375,1323
creatinine__last__last_12h,exact,5,44.20000076293945,1155
creatinine__last__last_12h,exact,6,88.4000015258789,1030
creatinine__last__last_12h,exact,7,97.24000549316406,905
creatinine__last__last_12h,exact,8,106.08000946044922,672
creatinine__last__last_12h,exact,9,35.36000061035156,611
creatinine__last__last_12h,exact,10,114.91999816894531,584
creatinine__last__last_12h,exact,11,123.76000213623047,489
creatinine__last__last_12h,exact,12,132.60000610351562,432
creatinine__last__last_12h,exact,13,141.44000244140625,411
creatinine__last__last_12h,exact,14,159.1199951171875,338
creatinine__last__last_12h,exact,15,150.28001403808594,332
creatinine__last__last_12h,exact,16,167.9600067138672,273
creatinine__last__last_12h,exact,17,26.520002365112305,256
creatinine__last__last_12h,exact,18,176.8000030517578,253
creatinine__last__last_12h,exact,19,185.63999938964844,245
creatinine__last__last_12h,exact,20,203.3199920654297,203
creatinine__last__last_12h,rounded_2dp,1,61.88,1589
creatinine__last__last_12h,rounded_2dp,2,70.72,1534
creatinine__last__last_12h,rounded_2dp,3,53.04,1495
creatinine__last__last_12h,rounded_2dp,4,79.56,1323
creatinine__last__last_12h,rounded_2dp,5,44.2,1155
creatinine__last__last_12h,rounded_2dp,6,88.4,1030
creatinine__last__last_12h,rounded_2dp,7,97.24,905
creatinine__last__last_12h,rounded_2dp,8,106.08,672
creatinine__last__last_12h,rounded_2dp,9,35.36,611
creatinine__last__last_12h,rounded_2dp,10,114.92,584
creatinine__last__last_12h,rounded_2dp,11,123.76,489
creatinine__last__last_12h,rounded_2dp,12,132.6,432
creatinine__last__last_12h,rounded_2dp,13,141.44,411
creatinine__last__last_12h,rounded_2dp,14,159.12,338
creatinine__last__last_12h,rounded_2dp,15,150.28,332
creatinine__last__last_12h,rounded_2dp,16,167.96,273
creatinine__last__last_12h,rounded_2dp,17,26.52,256
creatinine__last__last_12h,rounded_2dp,18,176.8,253
creatinine__last__last_12h,rounded_2dp,19,185.64,245
creatinine__last__last_12h,rounded_2dp,20,203.32,203
ureum__last__last_12h,exact,1,4.998000144958496,545
ureum__last__last_12h,exact,2,5.711999893188477,535
ureum__last__last_12h,exact,3,3.927000045776367,534
ureum__last__last_12h,exact,4,4.640999794006348,530
ureum__last__last_12h,exact,5,4.283999919891357,529
ureum__last__last_12h,exact,6,5.355000019073486,520
ureum__last__last_12h,exact,7,6.068999767303467,519
ureum__last__last_12h,exact,8,3.569999933242798,495
ureum__last__last_12h,exact,9,6.7829999923706055,493
ureum__last__last_12h,exact,10,6.425999641418457,479
ureum__last__last_12h,exact,11,7.139999866485596,456
ureum__last__last_12h,exact,12,3.2129998207092285,455
ureum__last__last_12h,exact,13,7.496999740600586,413
ureum__last__last_12h,exact,14,7.854000091552734,393
ureum__last__last_12h,exact,15,2.8559999465942383,379
ureum__last__last_12h,exact,16,8.210999488830566,376
ureum__last__last_12h,exact,17,8.567999839782715,366
ureum__last__last_12h,exact,18,2.499000072479248,322
ureum__last__last_12h,exact,19,8.925000190734863,316
ureum__last__last_12h,exact,20,9.281999588012695,307
ureum__last__last_12h,rounded_2dp,1,5.0,545
ureum__last__last_12h,rounded_2dp,2,5.71,535
ureum__last__last_12h,rounded_2dp,3,3.93,534
ureum__last__last_12h,rounded_2dp,4,4.64,530
ureum__last__last_12h,rounded_2dp,5,4.28,529
ureum__last__last_12h,rounded_2dp,6,5.36,520
ureum__last__last_12h,rounded_2dp,7,6.07,519
ureum__last__last_12h,rounded_2dp,8,3.57,495
ureum__last__last_12h,rounded_2dp,9,6.78,493
